2019-02-27 09:32:21,538 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-02-27 09:33:07,425 [Worker-6: Creating project "olyutil"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.olympus:olyutil:0.0.1 @ C:\Java_Dev\olyutil\olyutil\pom.xml.
2019-02-27 09:33:08,587 [Worker-6: Creating project "olyutil"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /olyutil/src/main/java
2019-02-27 09:33:08,590 [Worker-6: Creating project "olyutil"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /olyutil/src/main/resources
2019-02-27 09:33:08,592 [Worker-6: Creating project "olyutil"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /olyutil/src/test/java
2019-02-27 09:33:08,592 [Worker-6: Creating project "olyutil"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /olyutil/src/test/resources
2019-02-27 09:33:09,916 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-27 09:33:09,979 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-27 09:33:09,980 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-27 09:33:09,982 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-27 09:33:14,755 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-27 09:33:14,758 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-27 09:33:14,759 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-27 09:33:14,761 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-27 09:33:38,358 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-27 09:33:38,366 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-02-27 09:33:38,368 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-02-27 09:33:38,370 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
